age,gender,height_m,weight_kg,seatbelt,ride_drunkdriver,drive_drunk,drive_text,carried_weapon,unsafe_school,bullied,sad,days_smoke,days_drink
16,male,1.78,74.39,most of the time,no,0 times,all 30 days,no,no,no,no,0,5
16,male,1.73,81.65,always,no,0 times,0 days,no,no,no,no,0,0
16,male,1.9,65.32,always,no,not drive,not drive,yes,no,yes,yes,0,0
16,male,1.75,61.24,rarely,no,0 times,0 days,no,no,no,no,0,1
16,male,1.65,68.95,sometimes,no,not drive,not drive,no,no,no,no,0,0
15,male,1.7,57.15,always,no,not drive,not drive,yes,no,no,no,0,0
16,male,1.9,77.11,always,no,0 times,0 days,no,no,no,no,0,0
17,male,1.75,53.07,always,no,0 times,0 days,no,no,yes,no,0,7
15,male,1.78,77.57,always,no,not drive,not drive,no,no,no,no,17,0
16,male,1.65,54.43,always,no,0 times,0 days,no,no,yes,no,0,0
16,male,1.83,65.77,always,yes,not drive,not drive,yes,no,yes,no,14,1
17,female,1.55,81.65,always,no,0 times,1 or 2 days,no,no,no,yes,30,2
17,female,1.57,49.9,always,no,0 times,0 days,no,no,no,no,0,0
17,female,1.68,86.18,always,no,0 times,0 days,no,no,no,yes,0,3
17,female,1.57,112.04,always,no,not drive,not drive,no,no,yes,yes,0,0
17,male,1.78,72.58,most of the time,no,0 times,0 days,yes,no,no,no,0,0
17,male,1.83,95.26,always,no,0 times,0 days,yes,yes,yes,no,0,0
17,male,1.7,68.04,most of the time,no,0 times,20 to 29 days,yes,no,no,no,0,7
17,female,1.55,64.41,sometimes,no,0 times,0 days,no,no,no,yes,0,0
16,female,1.55,46.72,most of the time,no,0 times,0 days,no,no,yes,yes,0,0
17,female,1.7,68.04,most of the time,no,0 times,0 days,no,no,no,no,0,0
17,female,1.6,54.43,always,no,0 times,0 days,no,no,no,no,0,0
17,female,1.7,60.78,most of the time,no,not drive,not drive,no,no,no,no,0,0
17,female,1.68,79.38,most of the time,no,0 times,10 to 19 days,no,no,yes,yes,0,0
17,female,1.6,54.43,most of the time,yes,0 times,0 days,no,no,no,yes,0,3
17,female,1.68,54.43,never,no,0 times,0 days,no,no,no,no,0,0
17,female,1.83,61.24,always,no,0 times,0 days,no,no,no,no,0,0
17,female,1.57,45.36,most of the time,no,0 times,6 to 9 days,no,no,no,yes,0,0
17,female,1.78,41.73,always,no,not drive,not drive,yes,no,yes,no,0,0
17,female,1.65,65.77,always,no,0 times,0 days,no,no,no,no,0,0
16,female,1.6,58.51,sometimes,yes,not drive,not drive,no,no,no,yes,0,2
17,male,1.75,74.84,always,no,0 times,20 to 29 days,yes,no,no,yes,0,1
17,male,1.78,105.69,sometimes,yes,0 times,0 days,yes,no,yes,no,0,0
17,male,1.68,57.15,never,yes,6 or more times,0 days,yes,no,no,no,30,30
16,male,1.83,81.65,sometimes,yes,0 times,0 days,yes,no,yes,no,0,0
17,male,1.8,72.58,always,no,0 times,0 days,no,no,no,no,0,0
17,male,1.78,79.38,always,no,0 times,0 days,yes,no,no,no,0,0
16,male,1.75,65.77,most of the time,no,not drive,not drive,no,no,no,no,1,0
16,male,1.83,97.52,rarely,yes,0 times,20 to 29 days,no,no,no,no,0,3
17,male,1.65,60.33,always,no,not drive,not drive,no,no,no,no,0,0
17,male,1.83,69.85,sometimes,no,1 time,1 or 2 days,yes,no,no,no,30,6
17,male,1.83,104.33,most of the time,no,0 times,0 days,no,no,no,no,0,0
17,male,1.83,77.11,always,no,0 times,6 to 9 days,yes,no,no,no,0,1
17,male,1.7,57.61,always,no,0 times,0 days,yes,no,no,no,30,0
17,male,1.8,104.78,most of the time,no,0 times,1 or 2 days,yes,no,no,no,0,2
16,male,1.85,73.48,always,no,not drive,not drive,no,no,no,no,0,1
17,male,1.75,128.37,most of the time,no,not drive,not drive,no,no,no,no,0,5
17,male,1.9,74.84,most of the time,no,0 times,1 or 2 days,no,no,no,no,0,0
17,female,1.6,52.16,most of the time,no,not drive,not drive,no,no,no,no,0,0
17,female,1.5,44.45,always,no,0 times,1 or 2 days,yes,no,no,yes,0,0
17,female,1.65,74.84,always,no,not drive,not drive,no,no,no,no,0,0
17,female,1.6,56.7,always,no,not drive,not drive,no,no,no,yes,0,0
16,female,1.55,58.97,most of the time,no,not drive,not drive,no,no,no,no,0,1
17,female,1.55,55.79,always,no,not drive,not drive,no,no,yes,no,0,1
17,female,1.52,52.62,most of the time,no,not drive,not drive,no,no,no,no,0,1
17,female,1.5,61.24,always,no,not drive,not drive,no,no,no,yes,0,0
17,female,1.73,72.58,always,no,0 times,0 days,no,no,no,no,0,1
17,male,1.57,77.11,always,no,0 times,0 days,no,no,no,no,0,0
16,male,1.75,50.35,always,no,not drive,not drive,no,no,no,no,0,0
16,male,1.68,62.14,most of the time,no,0 times,0 days,no,no,no,no,0,0
17,male,1.85,95.26,always,no,not drive,not drive,no,no,yes,yes,0,0
17,male,1.85,63.5,always,no,0 times,0 days,no,no,no,no,0,2
16,male,1.85,73.48,always,no,not drive,not drive,no,no,no,no,0,0
17,male,1.8,74.84,always,no,0 times,1 or 2 days,no,no,no,no,0,0
16,male,1.73,61.69,always,no,0 times,0 days,no,no,no,no,0,2
17,male,1.8,65.77,always,no,0 times,0 days,no,no,no,no,0,0
15,female,1.68,58.06,always,no,0 times,0 days,no,no,no,no,0,0
14,female,1.65,53.98,always,no,0 times,0 days,no,no,no,no,0,0
14,female,1.55,54.89,always,no,not drive,not drive,no,no,yes,yes,0,0
17,female,1.78,102.06,always,no,not drive,not drive,no,no,yes,yes,0,0
14,female,1.52,54.43,always,yes,not drive,not drive,no,no,no,no,0,0
14,female,1.57,61.69,always,no,not drive,not drive,yes,no,yes,no,0,1
15,female,1.52,43.09,always,no,not drive,not drive,no,no,yes,no,0,0
14,female,1.57,58.97,most of the time,no,not drive,not drive,no,no,yes,no,0,0
15,female,1.57,53.07,always,yes,not drive,not drive,no,no,yes,yes,0,1
14,female,1.5,47.17,always,no,not drive,not drive,no,no,no,no,0,0
14,female,1.52,46.72,always,no,not drive,not drive,no,no,no,no,0,0
14,male,1.75,83.92,always,no,not drive,not drive,no,no,no,no,0,0
15,male,1.7,61.24,always,no,not drive,not drive,no,no,no,no,0,0
15,male,1.7,57.15,sometimes,no,0 times,0 days,yes,yes,no,yes,0,1
14,male,1.6,54.43,most of the time,no,not drive,not drive,no,no,yes,no,0,0
14,male,1.73,56.7,sometimes,no,not drive,not drive,no,no,no,no,0,0
15,male,1.8,58.97,always,no,not drive,not drive,no,no,yes,yes,0,0
14,male,1.73,79.38,most of the time,no,not drive,not drive,no,no,no,no,0,0
